r/mm,z/mm
0.848880084226715,2.50937718108849
0.869671801756012,2.50291320849644
0.890463519285309,2.49663849690681
0.911255236814606,2.49054313231446
0.932046954343903,2.48461798761541
0.9528386718732,2.4788546723999
0.973630389402496,2.47324543124439
0.994422106931793,2.46778306156103
1.01521382446109,2.46246086990992
1.03600554199039,2.45727264282598
1.05679725951968,2.45221258851063
1.07758897704898,2.44727528710065
1.09838069457828,2.44245566435412
1.11917241210758,2.43774897368568
1.13996412963687,2.43315076065975
1.16075584716617,2.42865683128519
1.18154756469547,2.4242632353176
1.20233928222476,2.41996625467006
1.22313099975406,2.4157623807263
1.24392271728336,2.41164829326122
1.26471443481265,2.40762084938738
1.28550615234195,2.40367707578863
1.30629786987125,2.39981415364495
1.32708958740054,2.39602940412233
1.34788130492984,2.39232028079473
1.36867302245914,2.38868436427191
1.38946473998843,2.38511935185048
1.41025645751773,2.38162304722932
1.43104817504703,2.37819335515887
1.45183989257633,2.37482827762395
1.47263161010562,2.37152590654125
1.49342332763492,2.36828441628543
1.51421504516422,2.36510205981467
1.53500676269351,2.3619771658952
1.55579848022281,2.35890813382606
1.57659019775211,2.35589342788881
1.5973819152814,2.35293157448053
1.6181736328107,2.35002116005506
1.63896535034,2.34716082723382
1.65975706786929,2.34434927060564
1.68054878539859,2.34158523456435
1.70134050292789,2.33886751175483
1.72213222045718,2.33619494015432
1.74292393798648,2.33356639984045
1.76371565551578,2.33098081133285
1.78450737304508,2.32843713440182
1.80529909057437,2.32593436584352
1.82609080810367,2.32347153695588
1.84688252563297,2.32104771224759
1.86767424316226,2.31866198851223
1.88846596069156,2.31631349310864
1.90925767822086,2.31400138196328
1.93004939575015,2.31172483855179
1.95084111327945,2.30948307317052
1.97163283080875,2.30727532159071
1.99242454833804,2.30510084345854
2.01321626586734,2.30295892148201
2.03400798339664,2.30084886085133
2.05479970092594,2.29876998817392
2.07559141845523,2.29672165017896
2.09638313598453,2.29470321306109
2.11717485351383,2.29271406201467
2.13796657104312,2.29075360038236
2.15875828857242,2.28882124859588
2.17955000610172,2.28691644364101
2.20034172363101,2.28503863867989
2.22113344116031,2.28318730236411
2.24192515868961,2.28136191796074
2.2627168762189,2.27956198291229
2.2835085937482,2.27778700852776
2.3043003112775,2.27603651942386
2.3250920288068,2.27431005279794
2.34588374633609,2.27260715806291
2.36667546386539,2.27092739659271
2.38746718139469,2.26927034126423
2.40825889892398,2.26763557584777
