r/mm,z/mm
0,0
0.0260714017555184,0.000204336096146249
0.0521428035110368,0.000817495071159396
0.0782142052665553,0.00183992954092479
0.104285607022074,0.00327239572392137
0.130357008777592,0.00511595624609066
0.156428410533111,0.00737198410164826
0.182499812288629,0.0100421678044772
0.208571214044147,0.0131285177755555
0.234642615799666,0.0166333740234375
0.237542497554446,0.0170492083740234
0.240406440719423,0.0174650427246094
0.243235719946785,0.0178808770751953
0.246031538264824,0.0182967114257813
0.248795029045838,0.0187125457763672
0.251527259982284,0.0191283801269531
0.254229242731487,0.0195442144775391
0.256901936773057,0.019960048828125
0.259546250777241,0.0203758831787109
0.262163045261396,0.0207917175292969
0.264753139074978,0.0212075518798828
0.267317312044063,0.0216233862304688
0.269856305946928,0.0220392205810547
0.272370826348467,0.0224550549316406
0.274861547105318,0.0228708892822266
0.2773291122317,0.0232867236328125
0.27977413661065,0.0237025579833985
0.282197207296843,0.0241183923339844
0.284598886733938,0.0245342266845703
0.28697971410401,0.0249500610351563
0.289340205856464,0.0253658953857422
0.291680856655929,0.0257817297363281
0.294002141734975,0.0261975640869141
0.296304517891312,0.0266133984375
0.298588423888134,0.027029232788086
0.300854281158407,0.0274450671386719
0.303102495561002,0.0278609014892578
0.30533345813166,0.0282767358398438
0.307547545390839,0.0286925701904297
0.309745119876728,0.0291084045410156
0.311926531479857,0.0295242388916016
0.314092118018142,0.0299400732421875
0.316242205476993,0.0303559075927735
0.318377108419325,0.0307717419433594
0.320497131016054,0.0311875762939453
0.322602567493029,0.0316034106445313
0.324693702320706,0.0320192449951172
0.326770810534156,0.0324350793457032
0.328834158540058,0.0328509136962891
0.330884004468717,0.033266748046875
0.332920598325639,0.033682582397461
0.334944182244556,0.0340984167480469
0.336954991127447,0.0345142510986328
0.338953252925127,0.0349300854492188
0.340939188759668,0.0353459197998047
0.34291301312681,0.0357617541503907
0.344874934409381,0.0361775885009766
0.346825155103385,0.0365934228515625
0.348763871917835,0.0370092572021485
0.350691275938394,0.0374250915527344
0.352607553043513,0.0378409259033204
0.354512884088418,0.0382567602539063
0.356407444987222,0.0386725946044922
0.358291406846521,0.0390884289550782
0.360164936305864,0.0395042633056641
0.36202819568882,0.03992009765625
0.363881343071079,0.040335932006836
0.36572453239048,0.0407517663574219
0.367557913727961,0.0411676007080079
0.369381633432647,0.0415834350585938
0.371195834178735,0.0419992694091797
0.373000655056847,0.0424151037597657
0.374796231807717,0.0428309381103516
0.376582696926532,0.0432467724609375
0.378360179710795,0.0436626068115235
0.380128806336734,0.0440784411621094
0.381888700055087,0.0444942755126954
0.383639981278757,0.0449101098632813
0.385382767623336,0.0453259442138672
0.387117173971456,0.0457417785644532
0.388843312637924,0.0461576129150391
0.390561293443842,0.0465734472656251
0.392271223751111,0.046989281616211
0.393973208516985,0.0474051159667969
0.395667350434217,0.0478209503173829
0.397353749994106,0.0482367846679688
0.399032505516054,0.0486526190185547
0.400703713194071,0.0490684533691407
0.402367467216413,0.0494842877197266
0.404023859819512,0.0499001220703126
0.405672981313418,0.0503159564208985
0.407314920121672,0.0507317907714844
0.408949762883982,0.0511476251220704
0.410577594502594,0.0515634594726563
0.412198498164303,0.0519792938232422
0.413812555374815,0.0523951281738282
0.415419846047305,0.0528109625244141
0.417020448542493,0.0532267968750001
0.418614439687766,0.053642631225586
0.420201894806934,0.0540584655761719
