r/mm,z/mm
1.28504505427773,2.887242081818
1.31006766568166,2.86908130751643
1.3350902770856,2.85164458400127
1.36011288848953,2.83487725992629
1.38513549989346,2.81873116612869
1.41015811129739,2.80316406314375
1.43518072270132,2.78813840159486
1.46020333410525,2.77362040497578
1.48522594550918,2.75957962462937
1.51024855691311,2.74598869215083
1.53527116831704,2.73282278871257
1.56029377972097,2.72005921718602
1.5853163911249,2.70767718881058
1.61033900252883,2.69565769834574
1.63536161393276,2.68398326448672
1.66038422533669,2.67263770456901
1.68540683674062,2.66160602115035
1.71042944814455,2.65087433322456
1.73545205954848,2.64042973639893
1.76047467095241,2.6302601734034
1.78549728235634,2.62035436874856
1.81051989376027,2.61070178814341
1.8355425051642,2.60129255749339
1.86056511656813,2.59211738332147
1.88558772797207,2.58316751266029
1.910610339376,2.57443470777571
1.93563295077993,2.56591119649584
1.96065556218386,2.55758962064188
1.98567817358779,2.54946301011893
2.01070078499172,2.54152476646573
2.03572339639565,2.53376863097699
2.06074600779958,2.52618864981184
2.08576861920351,2.51877915653887
2.11079123060744,2.51153476103487
2.13581384201137,2.50445032825037
2.1608364534153,2.49752095374092
2.18585906481923,2.49074195148761
2.21088167622316,2.48410884617406
2.23590428762709,2.4776173585971
2.26092689903102,2.4712633879804
2.28594951043495,2.4650430032192
2.31097212183888,2.45895243736679
2.33599473324281,2.45298807734568
2.36101734464674,2.44714645082875
2.38603995605067,2.44142421978233
2.4110625674546,2.43581817644158
2.43608517885854,2.43032523589122
2.46110779026247,2.4249424261143
2.4861304016664,2.41966688312365
2.51115301307033,2.41449584796667
2.53617562447426,2.40942666127158
2.56119823587819,2.4044567555503
2.58622084728212,2.39958365145543
2.61124345868605,2.39480495551304
2.63626607008998,2.39011835604636
2.66128868149391,2.385521617119
2.68631129289784,2.38101257560757
2.71133390430177,2.37658913945955
2.7363565157057,2.37224928460176
2.76137912710963,2.36799105010129
2.78640173851356,2.3638125358409
2.81142434991749,2.35971190116247
2.83644696132142,2.35568736249184
2.86146957272535,2.35173718941999
2.88649218412928,2.34785970283195
2.91151479553321,2.34405327383764
2.93653740693714,2.34031632192618
2.96156001834107,2.33664731175369
2.986582629745,2.3330447516187
3.01160524114894,2.32950719261045
3.03662785255287,2.32603322715989
3.0616504639568,2.32262148637795
3.08667307536073,2.31927063879958
3.11169568676466,2.31597938969856
3.13671829816859,2.31274647993957
3.16174090957252,2.30957068375086
3.18676352097645,2.30645080767927
3.21178613238038,2.30338569003409
3.23680874378431,2.30037419997013
3.26183135518824,2.29741523560734
3.28685396659217,2.29450772315352
3.3118765779961,2.29165061644923
3.33689918940003,2.28884289622992
3.36192180080396,2.28608356852569
3.38694441220789,2.28337166391875
3.41196702361182,2.28070623716816
3.43698963501575,2.27808636661213
3.46201224641968,2.27551115279623
3.48703485782361,2.27297971784011
3.51205746922754,2.27049120512604
3.53708008063147,2.26804477881174
3.56210269203541,2.26563962264659
3.58712530343934,2.26327493942793
3.61214791484327,2.26094995074079
3.6371705262472,2.2586638965587
3.66219313765113,2.2564160342159
3.68721574905506,2.25420563793759
3.71223836045899,2.25203199862124
3.73726097186292,2.24989442350777
3.76228358326685,2.24779223528431
3.78730619467078,2.24572477167599
3.81232880607471,2.24369138526117
3.83735141747864,2.24169144319934
3.86237402888257,2.23972432644391
3.8873966402865,2.23778942938558
3.91241925169043,2.23588615969539
3.93744186309436,2.23401393809877
3.96246447449829,2.23217219768143
3.98748708590222,2.23036038357645
4.01250969730615,2.22857795283032
4.03753230871008,2.22682437421444
4.06255492011401,2.22509912761074
4.08757753151795,2.22340170373572
4.11260014292188,2.22173160402562
4.13762275432581,2.22008834047873
4.16264536572974,2.21847143510931
4.18766797713367,2.21688041970328
4.2126905885376,2.21531483571939
4.23771319994153,2.21377423415686
4.26273581134546,2.21225817506825
4.28775842274939,2.2107662273424
4.31278103415332,2.20929796861897
4.33780364555725,2.20785298517704
4.36282625696118,2.20643087149921
4.38784886836511,2.2050312300779
4.41287147976904,2.20365367134132
4.43789409117297,2.20229781355947
4.4629167025769,2.20096328245273
4.48793931398083,2.19964971101864
4.51296192538476,2.19835673946743
4.53798453678869,2.19708401514251
4.56300714819262,2.19583119216813
4.58802975959655,2.19459793129386
4.61305237100048,2.19338389983835
4.63807498240441,2.19218877162194
4.66309759380834,2.19101222664856
4.68812020521227,2.18985395096587
4.7131428166162,2.18871363661588
4.73816542802013,2.18759098157782
4.76318803942406,2.18648568948029
4.78821065082799,2.18539746947501
4.81323326223193,2.1843260361935
4.83825587363586,2.18327110969848
4.86327848503978,2.18223241522279
4.88830109644372,2.18120968305524
4.91332370784765,2.18020264850239
4.93834631925158,2.17921105184724
4.96336893065551,2.17823463811189
4.98839154205944,2.17727315695408
5.01341415346337,2.17632636263343
5.0384367648673,2.17539401397624
5.06345937627123,2.17447587415935
5.08848198767516,2.17357171061612
5.11350459907909,2.1726812950066
5.13852721048302,2.17180440318746
5.16354982188695,2.1709408150148
5.18857243329088,2.17009031425861
5.21359504469481,2.1692526885762
5.23861765609874,2.16842772948665
5.26364026750267,2.16761523219053
5.2886628789066,2.1668149954919
5.31368549031053,2.16602682177467
5.33870810171446,2.16525051698083
5.36373071311839,2.16448589044537
5.38875332452232,2.16373275482504
5.41377593592625,2.16299092607732
5.43879854733018,2.16226022344177
5.46382115873411,2.16154046928874
5.48884377013804,2.16083148905417
5.51386638154198,2.16013311122079
5.53888899294591,2.15944516730224
5.56391160434983,2.15876749170413
5.58893421575377,2.1580999216643
5.6139568271577,2.15744229723603
5.63897943856163,2.15679446127444
5.66400204996556,2.15615625930883
5.68902466136949,2.15552753948778
5.71404727277342,2.15490815256413
5.73906988417735,2.15429795188343
5.76409249558128,2.15369679326634
5.78911510698521,2.15310453495828
5.81413771838914,2.15252103761587
5.83916032979307,2.15194616429711
5.864182941197,2.15137978035304
5.88920555260093,2.15082175338137
5.91422816400486,2.1502719532143
5.93925077540879,2.14973025191018
5.96427338681272,2.14919652365355
5.98929599821665,2.1486706447124
6.01431860962058,2.14815249342726
6.03934122102451,2.14764195020404
6.06436383242844,2.1471388974218
6.08938644383237,2.14664321939326
6.1144090552363,2.14615480235496
6.13943166664023,2.1456735344613
6.16445427804416,2.14519930569911
6.18947688944809,2.14473200785132
6.21449950085202,2.14427153448804
6.23952211225595,2.14381778096147
6.26454472365988,2.14337064432694
6.28956733506381,2.1429300233093
6.31458994646775,2.1424958182948
6.33961255787168,2.14206793132688
6.3646351692756,2.14164626603303
6.38965778067954,2.14123072759363
6.41468039208347,2.14082122273467
6.4397030034874,2.14041765972422
6.46472561489133,2.14001994830457
6.48974822629526,2.13962799966348
6.51477083769919,2.13924172642748
6.53979344910312,2.138861042659
6.56481606050705,2.13848586379337
6.58983867191098,2.13811610661222
6.61486128331491,2.13775168923737
6.63988389471884,2.13739253112848
6.66490650612277,2.13703855302454
6.6899291175267,2.13668967691922
6.71495172893063,2.13634582605531
6.73997434033456,2.13600692492277
6.76499695173849,2.13567289920446
6.79001956314242,2.13534367575315
6.81504217454635,2.13501918258652
6.84006478595028,2.13469934888561
6.86508739735421,2.13438410494426
6.89011000875814,2.1340733821479
6.91513262016207,2.13376711296887
6.940155231566,2.13346523096524
6.96517784296993,2.13316767073382
6.99020045437386,2.13287436789034
7.0152230657778,2.13258525906526
7.04024567718173,2.13230028190285
7.06526828858565,2.13201937501742
7.09029089998959,2.1317424779749
7.11531351139352,2.13146953128901
7.14033612279745,2.13120047642059
7.16535873420138,2.13093525573679
7.19038134560531,2.13067381249398
7.21540395700924,2.1304160908342
7.24042656841317,2.13016203578473
7.2654491798171,2.12991159322
7.29047179122103,2.12966470984573
7.31549440262496,2.12942133319567
7.34051701402889,2.12918141163128
7.36553962543282,2.12894489430631
7.39056223683675,2.12871173115191
7.41558484824068,2.12848187287374
7.44060745964461,2.12825527095172
7.46563007104854,2.12803187760705
7.49065268245247,2.12781164578827
7.5156752938564,2.12759452916864
7.54069790526033,2.12738048214602
7.56572051666426,2.12716945981204
7.59074312806819,2.12696141793918
7.61576573947212,2.12675631297827
7.64078835087605,2.12655410205857
7.66581096227998,2.12635474295892
7.69083357368391,2.12615819409566
7.71585618508784,2.12596441452042
7.74087879649178,2.12577336392019
7.7659014078957,2.12558500259041
7.79092401929964,2.12539929142373
7.81594663070357,2.12521619190787
7.8409692421075,2.12503566612587
7.86599185351143,2.12485767673091
7.89101446491536,2.12468218693575
7.91603707631929,2.12450916051085
7.94105968772322,2.12433856178461
7.96608229912715,2.12417035561985
7.99110491053108,2.12400450740393
8.01612752193501,2.12384098304703
8.04115013333894,2.12367974898246
8.06617274474287,2.12352077214459
8.0911953561468,2.12336401995968
8.11621796755073,2.12320946034428
8.14124057895466,2.12305706170552
8.16626319035859,2.12290679292056
8.19128580176252,2.12275862332794
8.21630841316645,2.12261252272609
8.24133102457038,2.12246846137373
8.26635363597431,2.12232640997055
8.29137624737824,2.12218633964916
8.31639885878217,2.12204822197374
8.3414214701861,2.12191202894039
8.36644408159003,2.12177773295908
8.39146669299396,2.12164530684613
8.4164893043979,2.12151472382291
8.44151191580182,2.12138595751628
8.46653452720575,2.12125898194162
8.49155713860968,2.12113377149582
8.51657975001362,2.12101030095606
8.54160236141755,2.12088854548028
8.56662497282148,2.12076848059126
8.59164758422541,2.12065008217006
8.61667019562934,2.1205333264549
8.64169280703327,2.12041819004161
8.6667154184372,2.12030464986875
8.69173802984113,2.1201926832114
8.71676064124506,2.12008226768017
8.74178325264899,2.11997338122165
8.76680586405292,2.11986600210444
8.79182847545685,2.11976010891334
8.81685108686078,2.11965568054843
8.84187369826471,2.11955269622551
8.86689630966864,2.11945113546302
8.89191892107257,2.11935097807656
8.9169415324765,2.11925220417808
8.94196414388043,2.11915479417628
8.96698675528436,2.11905872876434
8.99200936668829,2.11896398891482
9.01703197809222,2.11887055587885
9.04205458949615,2.11877841118656
9.06707720090008,2.11868753663561
9.09209981230401,2.11859791428629
9.11712242370794,2.1185095264609
9.14214503511187,2.11842235574407
9.1671676465158,2.11833638497203
9.19219025791974,2.11825159722807
9.21721286932367,2.11816797584182
9.24223548072759,2.11808550438975
9.26725809213153,2.11800416668495
9.29228070353546,2.11792394677294
9.31730331493939,2.11784482893097
9.34232592634332,2.11776679766855
9.36734853774725,2.11768983771778
9.39237114915118,2.11761393402947
9.41739376055511,2.11753907177251
9.44241637195904,2.11746523633429
9.46743898336297,2.11739241331172
9.4924615947669,2.11732058850751
9.51748420617083,2.11724974792963
9.54250681757476,2.1171798777917
9.56752942897869,2.11711096450454
9.59255204038262,2.11704299467272
9.61757465178655,2.11697595509397
9.64259726319048,2.11690983275967
9.66761987459441,2.11684461484683
9.69264248599834,2.11678028871487
9.71766509740227,2.11671684190509
9.7426877088062,2.11665426214108
9.76771032021013,2.11659253732128
9.79273293161406,2.11653165551585
9.817755543018,2.11647160496624
9.84277815442192,2.11641237408559
9.86780076582585,2.11635395145169
9.89282337722978,2.11629632580405
9.91784598863372,2.11623948604354
9.94286860003765,2.11618342123272
9.96789121144157,2.11612812058926
9.99291382284551,2.11607357348317
10.0179364342494,2.11601976943644
10.0429590456534,2.11596669812343
10.0679816570573,2.11591434936457
10.0930042684612,2.11586271312388
10.1180268798652,2.11581177950855
10.1430494912691,2.1157615387693
10.168072102673,2.11571198129456
10.1930947140769,2.115663097608
10.2181173254809,2.11561487836825
10.2431399368848,2.11556731436919
10.2681625482887,2.11552039653447
10.2931851596927,2.11547411591521
10.3182077710966,2.11542846368971
10.3432303825005,2.11538343116379
10.3682529939045,2.11533900976554
10.3932756053084,2.11529519104324
10.4182982167123,2.11525196666505
10.4433208281162,2.11520932841932
10.4683434395202,2.11516726820969
10.4933660509241,2.11512577805311
10.518388662328,2.11508485007953
10.543411273732,2.11504447653223
10.5684338851359,2.11500464976322
10.5934564965398,2.1149653622313
10.6184791079438,2.11492660650186
10.6435017193477,2.11488837524715
10.6685243307516,2.11485066124192
10.6935469421556,2.11481345736168
10.7185695535595,2.11477675658243
10.7435921649634,2.11474055198094
10.7686147763673,2.11470483673068
10.7936373877713,2.11466960410014
10.8186599991752,2.11463484745259
10.8436826105791,2.11460056024635
10.8687052219831,2.11456673603097
10.893727833387,2.1145333684456
10.9187504447909,2.11450045121882
10.9437730561949,2.11446797816889
10.9687956675988,2.11443594320011
10.9938182790027,2.11440434030132
11.0188408904066,2.11437316354575
11.0438635018106,2.11434240709121
11.0688861132145,2.11431206517671
11.0939087246184,2.11428213212103
11.1189313360224,2.11425260232258
11.1439539474263,2.11422347025956
11.1689765588302,2.11419473048681
11.1939991702342,2.11416637763447
11.2190217816381,2.11413840640776
11.244044393042,2.11411081158728
11.269067004446,2.11408358802591
11.2940896158499,2.11405673064759
11.3191122272538,2.11403023444716
11.3441348386577,2.11400409449059
11.3691574500617,2.11397830591205
11.3941800614656,2.11395286391282
11.4192026728695,2.1139277637611
11.4442252842735,2.11390300079219
11.4692478956774,2.11387857040583
11.4942705070813,2.11385446806508
11.5192931184853,2.11383068929617
11.5443157298892,2.1138072296887
11.5693383412931,2.11378408489309
11.594360952697,2.11376125061955
11.619383564101,2.11373872263792
11.6444061755049,2.11371649677788
11.6694287869088,2.11369456892655
11.6944513983128,2.11367293502749
11.7194740097167,2.11365159108056
11.7444966211206,2.11363053314214
11.7695192325246,2.11360975732284
11.7945418439285,2.11358925978658
